Year,Week,new_cases,new_deaths,icu_patients,hosp_patients,new_vaccinations,Sequence_Index,new_cases_predicted,new_cases_difference,new_deaths_predicted,new_deaths_difference,icu_patients_predicted,icu_patients_difference,hosp_patients_predicted,hosp_patients_difference
2021,2,118842,3454,18988,174462,368823.0,43,207572.22120031074,-88730.22120031074,1088.44750335629,2365.5524966437097,12964.444638284245,6023.555361715755,123526.73602563827,50935.26397436173
2021,3,130149,3414,20083,180558,717315.9,44,226570.60078748906,-96421.60078748906,1064.7836671914406,2349.2163328085594,13665.700946421102,6417.299053578898,122605.59730643041,57952.40269356959
2021,4,132624,3159,21671,190237,619694.25,45,221248.6755413028,-88624.6755413028,1071.4125044840864,2087.5874955159134,13469.261369393196,8201.738630606804,122863.63149205645,67373.36850794355
2021,5,128451,3069,22707,194173,628859.7000000001,46,221748.3376526035,-93297.33765260351,1070.790139703693,1998.209860296307,13487.704584820003,9219.295415179997,122839.40531449598,71333.59468550402
2021,6,110436,2892,23212,189030,837643.8,47,233130.37609174356,-122694.37609174356,1056.612999405496,1835.387000594504,13907.83127079747,9304.16872920253,122287.54581186346,66742.45418813654
2021,7,117551,2516,23574,180558,871630.2000000001,48,234983.17288617376,-117432.17288617376,1054.3052089126825,1461.6947910873175,13976.220547568568,9597.779452431432,122197.71273645078,58360.287263549224
2021,8,127696,2151,24098,177821,896430.15,49,236335.16273687957,-108639.16273687957,1052.6212091706607,1098.3787908293393,14026.12435157427,10071.87564842573,122132.16134593631,55688.838654063686
2021,9,124259,2033,25512,174903,1387460.55,50,263104.09239956137,-138845.09239956137,1019.2785989264906,1013.7214010735094,15014.202345378344,10497.797654621656,120834.26657175836,54068.73342824164
2021,10,142978,1872,27907,174632,1669157.7000000002,51,278461.04625522473,-135483.04625522473,1000.1504181064365,871.8495818935635,15581.048623800874,12325.951376199126,120089.68281709505,54542.31718290495
2021,11,183823,1799,29969,178466,1331304.45,52,260042.69601548713,-76219.69601548713,1023.0917863689232,775.9082136310768,14901.201996259713,15067.798003740287,120982.69874363247,57483.30125636753
2021,12,223964,1834,32971,189369,1954045.8,53,293991.95739766123,-70027.95739766123,980.8055610843414,853.1944389156586,16154.315904821875,16816.684095178127,119336.66472246082,70032.33527753918
2021,13,242407,1959,36076,200847,2103255.0,54,302126.22073415737,-59719.22073415737,970.6737562094409,988.3262437905591,16454.562746958556,19621.437253041444,118942.27398628792,81904.72601371208
2021,14,203218,2120,39857,213240,2261823.9,55,310770.7358818729,-107552.73588187288,959.9063963279614,1160.0936036720386,16773.643684903982,23083.356315096018,118523.14362968037,94716.85637031963
2021,15,202154,1967,41378,215614,2711411.85,56,335280.39599810867,-133126.39599810867,929.3778673665663,1037.6221326334337,17678.32893387123,23699.67106612877,117334.78981118283,98279.21018881717
2021,16,179462,2062,41792,214713,2697924.6,57,334545.12737402145,-155083.12737402145,930.2936968549559,1131.706303145044,17651.189158162975,24140.810841837025,117370.439398852,97342.560601148
2021,17,142908,1954,40468,206626,2946531.0,58,348098.11153812316,-205190.11153812316,913.4124888902224,1040.5875111097776,18151.448435305192,22316.551564694808,116713.3213316464,89912.6786683536
2021,18,106629,1533,36849,189976,3440811.1500000004,59,375044.2040183643,-268415.2040183643,879.8492097268959,653.1507902731041,19146.06575225579,17702.93424774421,115406.83679695181,74569.16320304819
2021,19,80870,1189,31516,167923,3769447.5,60,392960.0873073633,-312090.0873073633,857.5336998722787,331.4663001277213,19807.3656338906,11708.6343661094,114538.18304095235,53384.81695904765
2021,20,83455,940,26522,146598,3881901.45,61,399090.60769437137,-315635.60769437137,849.8976996872242,90.10230031277581,20033.651569163332,6488.348430836668,114240.94402267432,32357.055977325683
2021,21,60391,772,22604,126559,3624525.45,62,385059.5415101547,-324668.5415101547,867.3743928903405,-95.37439289034046,19515.745627426695,3088.254372573305,114921.24195412383,11637.758045876166
2021,22,46483,565,18824,107463,4272885.75,63,420405.44120755687,-373922.44120755687,823.3485550181983,-258.34855501819834,20820.411376199496,-1996.4113761994959,113207.49175626552,-5744.491756265517
2021,23,27004,355,15816,92611,4264577.100000001,64,419952.488259141,-392948.488259141,823.9127402063357,-468.9127402063357,20803.692260187087,-4987.6922601870865,113229.45323444583,-20618.453234445828
2021,24,14820,309,12838,78689,4302214.350000001,65,422004.31417042215,-407184.31417042215,821.3570447597557,-512.3570447597557,20879.427975271738,-8041.4279752717375,113129.97020836551,-34440.970208365514
2021,25,10690,234,10246,66795,4314096.15,66,422652.0603557216,-411962.0603557216,820.5502307083259,-586.5502307083259,20903.337177444926,-10657.337177444926,113098.56415666723,-46303.56415666723
2021,26,13906,171,8249,58025,4352790.75,67,424761.5285795334,-410855.5285795334,817.9227376521851,-646.9227376521851,20981.20054952749,-12732.20054952749,112996.28633613126,-54971.28633613126
2021,27,23318,142,6924,52007,4174957.5,68,415066.80140798533,-391748.80140798533,829.9982114786611,-687.9982114786611,20623.354842028202,-13699.354842028202,113466.33634902269,-61459.33634902269
2021,28,46656,96,6415,49143,4553416.350000001,69,435698.7996220867,-389042.7996220867,804.2995868537768,-708.2995868537768,21384.910259463453,-14969.910259463453,112465.99143421416,-63322.99143421416
2021,29,118078,119,6141,48086,5035893.45,70,462001.439038617,-343923.439038617,771.5377743528859,-652.5377743528859,22355.776839260565,-16214.776839260565,111190.70479870129,-63104.70479870129
2021,30,143183,240,7245,51013,4592967.75,71,437854.97700878326,-294671.97700878326,801.6139142053801,-561.6139142053801,21464.497730960415,-14219.497730960415,112361.44891429803,-61348.44891429803
2021,31,147135,282,9878,57636,3755934.0,72,392223.38764274644,-245088.38764274644,858.4513118236662,-576.4513118236662,19780.17303650911,-9902.17303650911,114573.90201279373,-56937.902012793726
2021,32,150930,353,12451,65865,3319323.0,73,368421.1767227033,-217491.17672270333,888.0986623773535,-535.0986623773535,18901.600709922423,-6450.6007099224225,115727.95507192939,-49862.95507192939
2021,33,133571,699,14289,72727,3276071.4,74,366063.2798629601,-232492.2798629601,891.0355910099529,-192.0355910099529,18814.567495366224,-4525.567495366224,115842.27798475685,-43115.277984756845
2021,34,112124,464,15741,77654,3176352.9,75,360627.0430992727,-248503.0430992727,897.8068114468816,-433.8068114468816,18613.90852308029,-2872.9085230802884,116105.85457805711,-38451.854578057115
2021,35,85782,489,15850,76532,2713932.9,76,335417.83313056745,-249635.83313056745,929.2066796202353,-440.20667962023526,17683.40192736874,-1833.4019273687409,117328.12615528608,-40796.12615528608
2021,36,64820,437,15338,72309,1908036.9000000001,77,291483.7440406932,-226663.74404069321,983.9297196302543,-546.9297196302543,16061.734301709048,-723.7343017090479,119458.2757487347,-47149.2757487347
2021,37,46736,386,13574,65446,1630762.35,78,276367.8918934499,-229631.89189344988,1002.7575910843998,-616.7575910843998,15503.787418793188,-1929.7874187931884,120191.1696580681,-54745.1696580681
2021,38,36114,331,11548,58171,1336872.6,79,260346.2483326171,-224232.2483326171,1022.7136903177803,-691.7136903177803,14912.406529586367,-3364.4065295863675,120967.98097302837,-62796.980973028374
2021,39,30916,276,9981,53084,1123393.95,80,248708.2826051708,-217792.2826051708,1037.2096062985456,-761.2096062985456,14482.833215567516,-4501.833215567516,121532.24914101463,-68448.24914101463
2021,40,26346,191,8472,48584,1063762.35,81,245457.416454983,-219111.416454983,1041.2587918419179,-850.2587918419179,14362.839276912542,-5890.839276912542,121689.86777728618,-73105.86777728618
2021,41,31095,175,7574,45837,1015309.05,82,242815.94460390243,-211720.94460390243,1044.5489333422074,-869.5489333422074,14265.338919588052,-6691.338919588052,121817.93985767402,-75980.93985767402
2021,42,34241,179,7165,44994,1008107.1000000001,83,242423.32432421274,-208182.32432421274,1045.037969890348,-866.037969890348,14250.846765319238,-7085.846765319238,121836.97609915498,-76842.97609915498
2021,43,38425,177,7266,45510,985798.8,84,241207.1688405726,-202782.1688405726,1046.5527782445965,-869.5527782445965,14205.956794537024,-6939.956794537024,121895.94154404555,-76385.94154404555
2021,44,48057,212,7644,46912,948570.0,85,239177.60991993133,-191120.60991993133,1049.0807385669273,-837.0807385669273,14131.042984687912,-6487.042984687912,121994.34495240665,-75082.34495240665
2021,45,66361,233,8174,48781,1185459.45,86,252091.83483325926,-185730.83483325926,1032.995150785996,-799.995150785996,14607.724779764858,-6433.724779764858,121368.197204298,-72587.197204298
2021,46,119701,317,9192,54298,1628809.35,87,276261.4224780507,-156560.4224780507,1002.8902063314534,-685.8902063314534,15499.857486304489,-6307.857486304489,120196.33184047874,-65898.33184047874
2021,47,195222,454,10655,62442,2129699.25,88,303567.85096363473,-108345.85096363473,968.8781029852221,-514.8781029852221,16507.77530057571,-5852.775300575711,118872.37637122771,-56430.376371227714
2021,48,288799,619,13554,75426,3585225.0,89,382917.04487092065,-94118.04487092065,870.043025192476,-251.04302519247597,19436.66313112586,-5882.663131125861,115025.12116135386,-39599.12116135386
2021,49,337285,903,17068,92751,4655377.65,90,441257.30448861956,-103972.30448861956,797.3760727782961,105.62392722170387,21590.082315510605,-4522.0823155106045,112196.48665724232,-19445.48665724232
2021,50,360652,1033,19989,105858,5377587.600000001,91,480629.1791286397,-119977.17912863969,748.335596104527,284.664403895473,23043.3523340295,-3054.3523340294996,110287.53658008963,-4429.536580089625
2021,51,519740,1157,22311,112872,3213123.9,92,362631.64467307844,157108.35532692156,895.3099372792367,261.6900627207633,18687.90112294818,3623.0988770518197,116008.66122965893,-3136.66122965893
2022,52,1140724,1315,24399,127072,2816803.5,93,341025.9092410443,799698.0907589557,922.2214210265028,392.77857897349725,17890.40372617676,6508.596273823241,117056.21791058972,10015.782089410277
2021,53,88948,2915,18543,171856,4203.150000000001,94,187694.6675533928,-98746.66755339279,1113.2064134886114,1801.7935865113886,12230.736806978603,6312.2631930213975,124490.50160487033,47365.498395129674
2022,1,1726217,1484,26256,146957,4793654.25,95,448795.5680653651,1277421.431934635,787.9866280928163,696.0133719071837,21868.32998717828,4387.67001282172,111830.99304110146,35126.006958898535
2022,2,1961912,1499,27396,168105,3995922.0,96,405306.53258018347,1556605.4674198166,842.1553221104471,656.8446778895529,20263.089901894742,7132.910098105258,113939.56415700023,54165.43584299977
2022,3,2417043,1658,26786,193273,2596501.95,97,329015.9874591551,2088027.012540845,937.1806347897168,720.8193652102832,17447.101002850613,9338.898997149387,117638.52041261058,75634.47958738942
2022,4,2329374,1933,25854,215632,1971440.1,98,294940.222094168,2034433.777905832,979.6244298033247,953.3755701966753,16189.317658374457,9664.682341625543,119290.68799460348,96341.31200539652
2022,5,1707588,1996,25595,229722,1576695.75,99,273420.40633552853,1434167.5936644715,1006.4288944721889,989.5711055278111,15394.99167486408,10200.00832513592,120334.07884983621,109387.92115016379
2022,6,958639,1988,24096,227174,1456574.7,100,266871.90763064695,691767.092369353,1014.585516449709,973.414483550291,15153.277585272806,8942.722414727194,120651.58359712633,106522.41640287367
2022,7,565947,1745,21523,209513,1013411.7000000001,101,242712.50899442594,323234.49100557406,1044.6777697677053,700.3222302322947,14261.52096904661,7261.479030953389,121822.95494563963,87690.04505436037
2022,8,393549,1331,18677,184973,555006.9,102,217722.190985122,175826.809014878,1075.8049924008799,255.19500759912012,13339.093976473121,5337.906023526879,123034.61351989102,61938.38648010898
2022,9,348284,1094,15731,163623,347241.3,103,206395.6769185288,141888.3230814712,1089.9129731347532,4.0870268652467985,12921.01677141718,2809.9832285828197,123583.78091664272,40039.21908335728
2022,10,419228,820,13602,149704,191539.95,104,197907.48863826226,221320.51136173774,1100.4856167583275,-280.4856167583275,12607.706073055968,994.2939269440321,123995.33174628067,25708.668253719326
2022,11,586328,792,11992,144735,220218.6,105,199470.9290376157,386857.07096238434,1098.538240283716,-306.53824028371605,12665.414807498904,-673.4148074989043,123919.528150484,20815.471849516005
2022,12,851993,727,10779,144509,257369.7,106,201496.25207828946,650496.7479217106,1096.0155560518597,-369.0155560518597,12740.17226519524,-1961.1722651952405,123821.33011927256,20687.669880727437
2022,13,959358,801,10767,152413,271307.4,107,202256.07735786392,757101.9226421361,1095.069139498424,-294.06913949842397,12768.21846081621,-2001.2184608162097,123784.48989920867,28628.510100791333
2022,14,928373,788,10885,162635,309376.2,108,204331.42957545104,724041.5704245489,1092.4841403601563,-304.4841403601563,12844.822564208847,-1959.8225642088473,123683.86619733761,38951.133802662385
2022,15,822438,852,11449,173229,297595.2,109,203689.17858578512,618748.8214142149,1093.2841097536734,-241.28410975367342,12821.116197260882,-1372.1161972608825,123715.0058138147,49513.9941861853
2022,16,539161,889,11598,175075,248338.65000000002,110,201003.9168945001,338157.0831054999,1096.628794621703,-207.62879462170304,12721.999496735396,-1123.999496735396,123845.20104987144,51229.79895012856
2022,17,376510,867,11323,168452,292028.10000000003,111,203385.6835102763,173124.3164897237,1093.6621345062963,-226.6621345062963,12809.913776801159,-1486.9137768011587,123729.72080905191,44722.27919094809
2022,18,264928,749,10129,153438,276732.75,112,202551.84481451308,62376.15518548692,1094.7007400459904,-345.7007400459904,12779.135644240463,-2650.135644240463,123770.14957850127,29667.850421498733
2022,19,216715,614,9025,138356,280214.55,113,202741.65803035375,13973.341969646252,1094.4643141539314,-480.46431415393135,12786.141910978382,-3761.141910978382,123760.94646190251,14595.05353809749
2022,20,162239,466,7897,123463,270977.7,114,202238.10348881266,-39999.10348881266,1095.0915272336792,-629.0915272336792,12767.555020600375,-4870.555020600375,123785.36136441134,-322.36136441133567
2022,21,113355,300,7282,112552,187630.80000000002,115,197694.3780826004,-84339.3780826004,1100.7510611479945,-800.7510611479945,12599.839869477779,-5317.839869477779,124005.6644372026,-11453.664437202606
2022,22,148073,329,6547,103074,258659.1,116,201566.54478910138,-53493.544789101375,1095.9280014693963,-766.9280014693963,12742.766865784553,-6195.766865784553,123817.9219687348,-20743.921968734794
2022,23,193813,237,6188,99093,249276.30000000002,117,201055.03366221592,-7242.033662215923,1096.5651250434132,-859.5651250434132,12723.886286903358,-6535.886286903358,123842.72264724095,-24749.722647240953
2022,24,297927,265,5916,97724,289076.55,118,203224.77731313274,94702.22268686726,1093.8625546457952,-828.8625546457952,12803.974507862591,-6887.974507862591,123737.52236537251,-26013.52236537251
2022,25,456705,291,5846,101187,363001.8,119,207254.87365247583,249450.12634752417,1088.842782350734,-797.8427823507341,12952.730904027605,-7106.730904027605,123542.12265966224,-22355.122659662244
2022,26,731586,264,6487,110727,603741.6,120,220379.0035906794,511206.9964093206,1072.4957428972511,-808.4957428972511,13437.160582134691,-6950.160582134691,122905.79764117734,-12178.797641177342
2022,27,903969,424,7156,122773,783768.3,121,230193.30850887738,673775.6914911226,1060.2713264626595,-636.2713264626595,13799.420068649515,-6643.420068649515,122429.94988685806,343.05011314194417
2022,28,683784,585,8273,137087,570087.0,122,218544.29514854285,465239.70485145715,1074.7810030577698,-489.7810030577698,13369.438971313288,-5096.438971313288,122994.7537006536,14092.2462993464
2022,29,522296,731,9053,145594,570407.25,123,218561.75384300348,303734.2461569965,1074.7592570091938,-343.7592570091938,13370.083395726757,-4317.083395726757,122993.90721375293,22600.09278624707
2022,30,329431,597,8647,143490,440404.65,124,211474.55424117483,117956.44575882517,1083.5868693576933,-486.58686935769333,13108.485115462818,-4461.485115462818,123337.53093882075,20152.469061179247
2022,31,212195,529,8122,134563,289724.4,125,203260.09539340227,8934.90460659773,1093.8185634590038,-564.8185634590038,12805.278146758037,-4683.278146758037,123735.80996400295,10827.190035997046
2022,32,151186,518,7375,123529,199146.15,126,198322.14694210718,-47136.14694210718,1099.9691302800172,-581.9691302800172,12623.011681092603,-5248.011681092603,123975.22698854805,-446.2269885480491
2022,33,119216,413,6863,115450,139398.0,127,195064.92697196812,-75848.92697196812,1104.0262299591006,-691.0262299591006,12502.783214208466,-5639.783214208466,124133.1536905441,-8683.153690544103
2022,34,117039,317,6020,108072,158264.4,128,196093.44442137252,-79054.44442137252,1102.7451381531544,-785.7451381531544,12540.747207196078,-6520.747207196078,124083.28589831055,-16011.285898310554
2022,35,106571,302,5738,100681,159974.85,129,196186.69102227857,-89615.69102227857,1102.6289928642025,-800.6289928642025,12544.189067424086,-6806.189067424086,124078.76482565091,-23397.764825650913
2022,36,112374,263,5356,94593,162489.6,130,196323.7847050103,-83949.7847050103,1102.4582329089908,-839.4582329089908,12549.24938372002,-7193.24938372002,124072.1178219555,-29479.1178219555
2022,37,188853,202,5100,91033,147386.4,131,195500.42122592343,-6647.421225923434,1103.4837908195393,-901.4837908195393,12518.857905807406,-7418.8579058074065,124112.03869926445,-33079.03869926445
